Date,Time,Category,Amount,Description
2025-03-01,10:45,Groceries,55.2,Weekly grocery run
2025-03-03,20:00,Entertainment,45.0,Netflix subscription
2025-03-04,14:00,Utilities,110.0,Water bill
2025-03-05,11:25,Health,30.0,Pharmacy
2025-03-06,19:45,Transport,15.0,Cab ride
2025-03-07,10:15,Groceries,62.35,Vegetables and essentials
2025-03-08,21:10,Food,25.5,Dinner with friends
2025-03-09,13:00,Bills,95.0,Internet bill
2025-03-11,10:00,Health,75.0,Doctor visit
2025-03-12,13:20,Food,18.0,Lunch outside
2025-03-13,18:50,Shopping,200.0,Clothes
2025-03-14,21:00,Entertainment,80.0,Concert ticket
2025-03-15,09:40,Groceries,59.6,Weekend groceries
2025-03-16,07:50,Transport,10.0,Metro
2025-03-17,15:25,Utilities,125.0,Electricity bill
2025-03-19,18:10,Shopping,150.0,Shoes
2025-03-21,12:30,Bills,85.0,Mobile recharge
2025-03-22,11:50,Health,40.0,Health checkup
2025-03-23,09:05,Transport,18.0,Rickshaw
2025-03-24,10:30,Groceries,50.0,Weekly shopping
2025-03-25,20:20,Food,22.0,Pizza
2025-03-26,23:10,Entertainment,60.0,Game pass
2025-03-27,17:00,Shopping,120.0,Bag
2025-03-28,13:10,Utilities,98.0,Gas bill
2025-03-29,15:00,Bills,90.0,Phone plan
2025-03-30,08:45,Health,65.0,Lab test
2025-03-31,18:40,Transport,15.0,Cab
2025-04-01,11:00,Groceries,45.9,Vegetables and fruits
2025-04-02,08:10,Transport,15.0,Bus ticket
2025-04-03,13:15,Utilities,120.0,Electricity bill
2025-04-03,14:05,Food,30.5,Lunch at cafe
2025-04-04,19:30,Entertainment,60.0,Movie ticket
2025-04-05,10:00,Groceries,55.25,Weekly shopping
2025-04-06,09:30,Transport,12.0,Cab ride
2025-04-06,16:00,Food,20.0,Snacks
2025-04-07,13:45,Bills,90.0,Mobile recharge
2025-04-08,11:20,Health,75.0,Medicine
2025-04-09,17:40,Shopping,140.0,Jeans
2025-04-13,04:35,food,12.0,mall
2025-04-14,04:40,shoping,500.0,mall
2025-03-02,08:30,Transport,12.0,Bus fare
2025-03-10,16:30,Education,150.0,Online course fee
2025-03-20,14:45,Education,100.0,Books
2025-05-12,12:34:41 (auto),education,2000.0,collegee fee 
2025-04-10,15:50,Education,180.0,Exam fee
2025-05-12,21:37:13 (auto),Food,500.0,restaurant
